doc_id,company_name,file_name,file_path,document_type,document_date,effective_date,fund_id,total_pages,extraction_date
DOC000054,미래에셋자산운용,R2_KR510902511M.pdf,data/투자설명서/미래에셋자산운용/R2_KR510902511M.pdf,투자설명서,2025-01-17,2025-01-24,FUND000052,62,2026-08-31
DOC000055,미래에셋자산운용,R2_KR510902773M.pdf,data/투자설명서/미래에셋자산운용/R2_KR510902773M.pdf,투자설명서,2025-11-07,2025-11-14,FUND000053,60,2026-08-31
DOC000056,미래에셋자산운용,R2_KR510902777M.pdf,data/투자설명서/미래에셋자산운용/R2_KR510902777M.pdf,투자설명서,2025-11-07,2025-11-14,FUND000054,64,2026-08-31
DOC000057,미래에셋자산운용,R2_KR5110501016.pdf,data/투자설명서/미래에셋자산운용/R2_KR5110501016.pdf,투자설명서,2025-12-23,2025-12-30,FUND000055,62,2026-08-31
DOC000058,미래에셋자산운용,R2_KR5110601022.pdf,data/투자설명서/미래에셋자산운용/R2_KR5110601022.pdf,투자설명서,2025-07-04,2025-07-11,FUND000056,65,2026-08-31
DOC000059,미래에셋자산운용,R2_KR5153420022.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153420022.pdf,투자설명서,2021-03-10,2021-03-17,FUND000057,60,2026-08-31
DOC000060,미래에셋자산운용,R2_KR5153420063.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153420063.pdf,투자설명서,2025-02-07,2025-02-14,FUND000058,57,2026-08-31
DOC000061,미래에셋자산운용,R2_KR5153420079.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153420079.pdf,투자설명서,2025-08-22,2025-08-29,FUND000059,61,2026-08-31
DOC000062,미래에셋자산운용,R2_KR5153420105.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153420105.pdf,투자설명서,2025-12-23,2025-12-30,FUND000060,63,2026-08-31
DOC000063,미래에셋자산운용,R2_KR5153420318.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153420318.pdf,투자설명서,2025-10-17,2025-10-24,FUND000061,67,2026-08-31
DOC000064,미래에셋자산운용,R2_KR5153420339.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153420339.pdf,투자설명서,2024-12-24,2025-01-09,FUND000062,51,2026-08-31
DOC000065,미래에셋자산운용,R2_KR5153450009.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450009.pdf,투자설명서,2025-03-21,2025-03-28,FUND000063,49,2026-08-31
DOC000066,미래에셋자산운용,R2_KR5153450112.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450112.pdf,투자설명서,2025-05-09,2025-05-16,FUND000064,85,2026-08-31
DOC000067,미래에셋자산운용,R2_KR5153450209.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450209.pdf,투자설명서,2025-07-31,2025-08-07,FUND000065,49,2026-08-31
DOC000068,미래에셋자산운용,R2_KR5153450250.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450250.pdf,투자설명서,2025-09-05,2025-09-12,FUND000066,49,2026-08-31
DOC000069,미래에셋자산운용,R2_KR5153450268.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450268.pdf,투자설명서,2025-12-17,2025-12-23,FUND000067,65,2026-08-31
DOC000070,미래에셋자산운용,R2_KR5153450431.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450431.pdf,투자설명서,2025-07-31,2025-08-07,FUND000068,61,2026-08-31
DOC000071,미래에셋자산운용,R2_KR5153450658.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450658.pdf,투자설명서,2025-11-21,2025-11-28,FUND000069,66,2026-08-31
DOC000072,미래에셋자산운용,R2_KR5153450772.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450772.pdf,투자설명서,2025-05-09,2025-05-16,FUND000070,65,2026-08-31
DOC000073,미래에셋자산운용,R2_KR5153450785.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450785.pdf,투자설명서,2026-01-06,2026-01-13,FUND000071,64,2026-08-31
DOC000074,미래에셋자산운용,R2_KR5153450791.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153450791.pdf,투자설명서,2025-02-21,2025-02-28,FUND000072,49,2026-08-31
DOC000075,미래에셋자산운용,R2_KR5153451009.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153451009.pdf,투자설명서,2025-12-23,2025-12-30,FUND000073,62,2026-08-31
DOC000076,미래에셋자산운용,R2_KR5153520012.pdf,data/투자설명서/미래에셋자산운용/R2_KR5153520012.pdf,투자설명서,2025-12-23,2025-12-30,FUND000074,53,2026-08-31
DOC000077,미래에셋자산운용,R2_KR518101002M.pdf,data/투자설명서/미래에셋자산운용/R2_KR518101002M.pdf,투자설명서,2025-09-19,2025-09-26,FUND000075,54,2026-08-31
DOC000078,우리자산운용,R2_KR5118201004.pdf,data/투자설명서/우리자산운용/R2_KR5118201004.pdf,투자설명서,2025-10-31,2025-11-28,FUND000076,72,2026-08-31
DOC000079,우리자산운용,R2_KR5118420006.pdf,data/투자설명서/우리자산운용/R2_KR5118420006.pdf,투자설명서,2025-10-31,2025-11-28,FUND000077,65,2026-08-31
DOC000080,우리자산운용,R2_KR5118420036.pdf,data/투자설명서/우리자산운용/R2_KR5118420036.pdf,투자설명서,2025-01-31,2025-02-28,FUND000078,74,2026-08-31
DOC000081,우리자산운용,R2_KR5118420062.pdf,data/투자설명서/우리자산운용/R2_KR5118420062.pdf,투자설명서,2025-10-31,2025-11-28,FUND000079,63,2026-08-31
DOC000082,키움투자자산운용,R2_KR5123365001.pdf,data/투자설명서/키움투자자산운용/R2_KR5123365001.pdf,투자설명서,2025-03-25,2025-04-11,FUND000080,44,2026-08-31
DOC000083,키움투자자산운용,R2_KR5123420015.pdf,data/투자설명서/키움투자자산운용/R2_KR5123420015.pdf,투자설명서,2025-03-25,2025-04-11,FUND000081,55,2026-08-31
DOC000084,키움투자자산운용,R2_KR5123420039.pdf,data/투자설명서/키움투자자산운용/R2_KR5123420039.pdf,투자설명서,2025-01-19,2025-02-13,FUND000082,55,2026-08-31
DOC000085,키움투자자산운용,R2_KR5123420049.pdf,data/투자설명서/키움투자자산운용/R2_KR5123420049.pdf,투자설명서,2025-01-19,2025-02-13,FUND000083,55,2026-08-31
DOC000086,키움투자자산운용,R2_KR5123490013.pdf,data/투자설명서/키움투자자산운용/R2_KR5123490013.pdf,투자설명서,2025-05-12,2025-05-30,FUND000084,65,2026-08-31
DOC000087,키움투자자산운용,R2_KR5185450009.pdf,data/투자설명서/키움투자자산운용/R2_KR5185450009.pdf,투자설명서,2025-06-30,2025-07-15,FUND000085,59,2026-08-31
DOC000088,한국투자신탁운용,R2_KR5113420012.pdf,data/투자설명서/한국투자신탁운용/R2_KR5113420012.pdf,투자설명서,2025-02-28,2025-03-28,FUND000086,75,2026-08-31
DOC000089,한국투자신탁운용,R2_KR5113420013.pdf,data/투자설명서/한국투자신탁운용/R2_KR5113420013.pdf,투자설명서,2025-02-28,2025-03-28,FUND000087,81,2026-08-31
DOC000090,한국투자신탁운용,R2_KR5113420069.pdf,data/투자설명서/한국투자신탁운용/R2_KR5113420069.pdf,투자설명서,2025-11-28,2026-01-06,FUND000088,88,2026-08-31
DOC000091,한국투자신탁운용,R2_KR5113450111.pdf,data/투자설명서/한국투자신탁운용/R2_KR5113450111.pdf,투자설명서,2025-02-28,2025-08-28,FUND000089,75,2026-08-31
DOC000092,한국투자신탁운용,R2_KR5113450401.pdf,data/투자설명서/한국투자신탁운용/R2_KR5113450401.pdf,투자설명서,2025-08-29,2025-09-30,FUND000090,86,2026-08-31
DOC000093,한국투자신탁운용,R2_KR5113470030.pdf,data/투자설명서/한국투자신탁운용/R2_KR5113470030.pdf,투자설명서,2025-10-31,2025-12-04,FUND000091,80,2026-08-31
DOC000094,한국투자신탁운용,R2_KR518101012M.pdf,data/투자설명서/한국투자신탁운용/R2_KR518101012M.pdf,투자설명서,2025-02-28,2025-03-28,FUND000092,71,2026-08-31
