class_id,fund_id,period,return_pct,benchmark_return_pct,as_of_date,source_doc_id,source_page,source_text
CLASS000014,FUND000001,3Y,1.23,0.86,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C-I; 최초설정일 2021-05-26; 3Y 수익률 1.23%
CLASS000014,FUND000001,SINCE_INCEPTION,0.68,0.36,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C-I; 최초설정일 2021-05-26; SINCE_INCEPTION 수익률 0.68%
CLASS000015,FUND000001,3Y,0.84,0.58,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- I2; 최초설정일 2021-12-24; 3Y 수익률 0.84%
CLASS000015,FUND000001,SINCE_INCEPTION,0.49,0.28,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- I2; 최초설정일 2021-12-24; SINCE_INCEPTION 수익률 0.49%
,FUND000002,1Y,-1.36,-4.18,2025-04-19,DOC000002,47,[p.47] 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 책임투자 증권 투자신탁 ( 주식 )( 운용 ); 최초설정일 2009-04-20; 1Y 수익률 -1.36%
,FUND000002,2Y,0.56,-1.79,2025-04-19,DOC000002,47,[p.47] 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 책임투자 증권 투자신탁 ( 주식 )( 운용 ); 최초설정일 2009-04-20; 2Y 수익률 0.56%
,FUND000002,3Y,-0.58,-2.97,2025-04-19,DOC000002,47,[p.47] 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 책임투자 증권 투자신탁 ( 주식 )( 운용 ); 최초설정일 2009-04-20; 3Y 수익률 -0.58%
,FUND000002,5Y,11.59,5.34,2025-04-19,DOC000002,47,[p.47] 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 책임투자 증권 투자신탁 ( 주식 )( 운용 ); 최초설정일 2009-04-20; 5Y 수익률 11.59%
,FUND000002,SINCE_INCEPTION,10.91,3.98,2025-04-19,DOC000002,47,[p.47] 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 책임투자 증권 투자신탁 ( 주식 )( 운용 ); 최초설정일 2009-04-20; SINCE_INCEPTION 수익률 10.91%
CLASS000016,FUND000002,1Y,-2.91,-4.18,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )A1; 최초설정일 2009-04-20; 1Y 수익률 -2.91%
CLASS000016,FUND000002,2Y,-1.04,-1.79,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )A1; 최초설정일 2009-04-20; 2Y 수익률 -1.04%
CLASS000016,FUND000002,3Y,-2.17,-2.97,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )A1; 최초설정일 2009-04-20; 3Y 수익률 -2.17%
CLASS000016,FUND000002,5Y,9.84,5.34,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )A1; 최초설정일 2009-04-20; 5Y 수익률 9.84%
CLASS000016,FUND000002,SINCE_INCEPTION,9.17,3.98,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )A1; 최초설정일 2009-04-20; SINCE_INCEPTION 수익률 9.17%
CLASS000018,FUND000002,1Y,-3.49,-4.18,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C1; 최초설정일 2015-07-24; 1Y 수익률 -3.49%
CLASS000018,FUND000002,2Y,-1.63,-1.79,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C1; 최초설정일 2015-07-24; 2Y 수익률 -1.63%
CLASS000018,FUND000002,3Y,-2.75,-2.97,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C1; 최초설정일 2015-07-24; 3Y 수익률 -2.75%
CLASS000018,FUND000002,5Y,9.19,5.34,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C1; 최초설정일 2015-07-24; 5Y 수익률 9.19%
CLASS000018,FUND000002,SINCE_INCEPTION,7.53,2.71,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C1; 최초설정일 2015-07-24; SINCE_INCEPTION 수익률 7.53%
CLASS000019,FUND000002,1Y,-3.35,-4.18,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C2; 최초설정일 2010-04-21; 1Y 수익률 -3.35%
CLASS000019,FUND000002,2Y,-1.49,-1.79,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C2; 최초설정일 2010-04-21; 2Y 수익률 -1.49%
CLASS000019,FUND000002,3Y,-2.61,-2.97,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C2; 최초설정일 2010-04-21; 3Y 수익률 -2.61%
CLASS000019,FUND000002,5Y,9.35,5.34,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C2; 최초설정일 2010-04-21; 5Y 수익률 9.35%
CLASS000019,FUND000002,SINCE_INCEPTION,4.13,1.17,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C2; 최초설정일 2010-04-21; SINCE_INCEPTION 수익률 4.13%
CLASS000023,FUND000002,1Y,-2.07,-4.18,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C-F; 최초설정일 2017-10-18; 1Y 수익률 -2.07%
CLASS000023,FUND000002,2Y,-0.18,-1.79,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C-F; 최초설정일 2017-10-18; 2Y 수익률 -0.18%
CLASS000023,FUND000002,3Y,-1.31,-2.97,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C-F; 최초설정일 2017-10-18; 3Y 수익률 -1.31%
CLASS000023,FUND000002,5Y,10.79,5.34,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C-F; 최초설정일 2017-10-18; 5Y 수익률 10.79%
CLASS000023,FUND000002,SINCE_INCEPTION,7.09,0.93,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C-F; 최초설정일 2017-10-18; SINCE_INCEPTION 수익률 7.09%
CLASS000020,FUND000002,1Y,-3.2,-4.18,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C3; 최초설정일 2018-02-28; 1Y 수익률 -3.20%
CLASS000020,FUND000002,2Y,-1.34,-1.79,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C3; 최초설정일 2018-02-28; 2Y 수익률 -1.34%
CLASS000020,FUND000002,3Y,-2.46,-2.97,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C3; 최초설정일 2018-02-28; 3Y 수익률 -2.46%
CLASS000020,FUND000002,5Y,9.52,5.34,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C3; 최초설정일 2018-02-28; 5Y 수익률 9.52%
CLASS000020,FUND000002,SINCE_INCEPTION,4.97,0.15,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C3; 최초설정일 2018-02-28; SINCE_INCEPTION 수익률 4.97%
CLASS000022,FUND000002,1Y,-2.91,-4.18,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )Ce; 최초설정일 2009-04-20; 1Y 수익률 -2.91%
CLASS000022,FUND000002,2Y,-1.04,-1.79,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )Ce; 최초설정일 2009-04-20; 2Y 수익률 -1.04%
CLASS000022,FUND000002,3Y,-2.17,-2.97,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )Ce; 최초설정일 2009-04-20; 3Y 수익률 -2.17%
CLASS000022,FUND000002,5Y,9.84,5.34,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )Ce; 최초설정일 2009-04-20; 5Y 수익률 9.84%
CLASS000022,FUND000002,SINCE_INCEPTION,9.13,3.98,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )Ce; 최초설정일 2009-04-20; SINCE_INCEPTION 수익률 9.13%
CLASS000021,FUND000002,1Y,-3.01,-4.18,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C4; 최초설정일 2012-04-23; 1Y 수익률 -3.01%
CLASS000021,FUND000002,2Y,-1.14,-1.79,2025-04-19,DOC000002,47,[p.47] 마이다스 책임투자 증권 투자 신탁 ( 주식 )C4; 최초설정일 2012-04-23; 2Y 수익률 -1.14%
